TextureSheet	FX						${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/Fx/fx.png	
TextureSheet	Items					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/Items/items.png	
TextureSheet	Props					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/Props/props.png
TextureSheet	TileSet					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/tileset-sliced.png

Texture         Back					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/back.png
Texture         Middle					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/middle.png

Animation		EnemyDeath				FX		6	8	0	0	40	41
Animation		TwigLeft				TileSet	1	0	X	X	X	X
Animation		TwigRight				TileSet	1	0	X	X	X	X
Animation		WoodLeftTop				TileSet	1	0	X	X	X	X
Animation		WoodMiddleTop			TileSet	1	0	X	X	X	X
Animation		WoodRightTop			TileSet	1	0	X	X	X	X
Animation		WoodLeft				TileSet	1	0	X	X	X	X
Animation		WoodEmpty				TileSet	1	0	X	X	X	X
Animation		WoodRight				TileSet	1	0	X	X	X	X
Animation		WoodLeftBottom			TileSet	1	0	X	X	X	X
Animation		WoodMiddleBottom		TileSet	1	0	X	X	X	X
Animation		WoodRightBottom			TileSet	1	0	X	X	X	X
Animation		CeilingSlopeRight		TileSet	1	0	X	X	X	X
Animation		CeilingSlopeLeft		TileSet	1	0	X	X	X	X
Animation		Ladder					TileSet	1	0	X	X	X	X
Animation		Log1					TileSet	1	0	X	X	X	X
Animation		Log2					TileSet	1	0	X	X	X	X
Animation		Vine1					TileSet	1	0	X	X	X	X
Animation		Vine2					TileSet	1	0	X	X	X	X
Animation		CeilingRock				TileSet	1	0	X	X	X	X
Animation		Ceiling					TileSet	1	0	X	X	X	X
Animation		GrassyCeilingLeft		TileSet	1	0	X	X	X	X
Animation		GrassyCeilingMiddle		TileSet	1	0	X	X	X	X
Animation		GrassyCeilingRight		TileSet	1	0	X	X	X	X
Animation		WallRight				TileSet	1	0	X	X	X	X
Animation		WallLeft				TileSet	1	0	X	X	X	X
Animation		BrickPillar				TileSet	1	0	X	X	X	X
Animation		Cabinent				TileSet	1	0	X	X	X	X
Animation		BricksLong				TileSet	1	0	X	X	X	X
Animation		RocksDark				TileSet	1	0	X	X	X	X
Animation		Brick					TileSet	1	0	X	X	X	X
Animation		BrickEmpty				TileSet	1	0	X	X	X	X
Animation		SpiralSmall				TileSet	1	0	X	X	X	X
Animation		SpiralBig				TileSet	1	0	X	X	X	X
Animation		BushRight				TileSet	1	0	X	X	X	X
Animation		BushLeft				TileSet	1	0	X	X	X	X
Animation		Flame					TileSet	1	0	X	X	X	X

Music           HurtAndHeart			${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Music/hurt_and_heart.ogg
Music           Maniac					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Music/Maniac.ogg
Music           UnderTheRainbow			${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Music/under_the_rainbow.ogg
Music           UpAndRight				${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Music/up_and_right.ogg
